28603 0 626178	Visualizing web site comparisons.
21735 0 360306	The Complexity of Perceptual Search Tasks.
25497 0 552505	Text collections for FIRE.
25852 0 554408	The Cedar DBMS: A Preliminary Report.
7136 1 96971	Rubens N. Melo
28295 0 597496	The Mirror MMDBMS Architecture.
15678 0 11590	Goal-Directed Site-Independent Recommendations from Passive Observations.
30086 3 1303	principle
30645 3 1930	nonmonotonic
5572 1 50660	Jittat Fakcharoenphol
21822 0 360543	Reasoning about distances.
24648 0 551183	Query Optimization for Vector Space Problems.
2657 1 18613	Ranjit Nair
32412 3 4172	gems
32362 3 4099	rl
8794 1 131989	Jonathan Furner
25331 0 552284	Novelty and redundancy detection in adaptive filtering.
5045 1 39167	Joe Carthy
34790 3 8112	asp
32397 3 4150	options
6543 1 78850	Duygu Ucar
4542 1 33973	Simonas Saltenis
9822 1 168704	Ansaf Salleb
35784 3 9891	multigraph
24838 0 551504	Geographic information retrieval (GIR): searching where and what.
23235 0 487290	CCRM: An Effective Algorithm for Mining Commodity Information from Threaded Chinese Customer Reviews.
30572 3 1849	electromyographic
7653 1 113690	Marcus Fontoura
3791 1 22330	Miguel Castro
4242 1 28826	Il-Yeol Song
16667 0 86678	An approximate multi-word matching algorithm for robust document retrieval.
14199 1 438351	Jaime Castillo
18913 0 277473	Fine Grained Authorization Through Predicated Grants.
14059 1 429917	Eugene Kogan
19611 0 278903	Efficient Algorithms for Mining Significant Substructures in Graphs with Quality Guarantees.
30568 3 1845	qpc
15692 0 11613	Goal-based Generation of Motivational Expressions in a Learning Environment.
33117 3 5189	occlusions
11981 1 283211	Jasmina Bogojeska
13974 1 422713	Nitin Thaper
14848 0 8832	Elementary Sets of Logic Programs.
1844 1 16857	Llu��s Vila
29111 3 259	completion
12438 1 317079	Richard Schmidt
13171 1 408479	Meirav Taieb-Maimon
29199 3 357	production
871 1 14065	Srikanta Tirthapura
20727 0 357729	Scene Analysis Based on Imperfect Edge Data.
13945 1 422652	L. S. Schneider
31376 3 2804	ordered
31156 3 2536	template
2460 1 18148	Dimitris Margaritis
2447 1 18125	Charles X. Ling
32446 3 4218	impediment
11530 1 261546	Yu Guo Wang
32730 3 4633	masses
33084 3 5119	epipolar
30758 3 2079	too
5220 1 42836	Hiroshi Ishiguro
19814 0 308478	Combining Labeled and Unlabeled Data for MultiClass Text Categorization.
7776 1 113873	Yaron Kanza
34463 3 7535	intellimedia
35016 3 8575	vlsl
19685 0 308024	Query Learning Strategies Using Boosting and Bagging.
23406 0 500616	A Feature Generation Algorithm for Sequences with Application to Splice-Site Prediction.
29576 3 759	workloads
30301 3 1536	perceptual
30867 3 2207	neighbor
22872 0 437342	Angle-based outlier detection in high-dimensional data.
23966 0 504436	Concurrent Operations on B-Trees with Overtaking.
32164 3 3822	autonomic
20997 0 358410	Learning Concept Classification Rules Using Genetic Algorithms.
14089 1 438165	Srinivas Ashwin
17623 0 162904	XML Duplicate Detection Using Sorted Neighborhoods.
30904 3 2248	according
16836 0 116543	A Robust Clustering Algorithm Based on Competitive Agglomeration and Soft Rejection of Outliers.
22048 0 361031	Identifying Expressions of Opinion in Context.
29458 3 631	defining
35911 3 10209	paste
36256 3 10790	inspector
14874 0 8914	A Probabilistic Classification Approach for Lexical Textual Entailment.
30074 3 1291	line
1001 1 15293	Guido Governatori
1451 1 16115	Le Chang
31551 3 3013	yes
5369 1 47820	Erol Gelenbe
18517 0 276664	Combining Hierarchy Encoding and Pre-Grouping: Intelligent Grouping in Star Join Processing.
29245 3 407	compare
10728 1 231145	Stephen F. Weiss
26345 0 555324	A Starburst is Born.
15772 0 11762	Particle Filtering for Dynamic Agent Modelling in Simplified Poker.
12136 1 315986	George W. Baylor
4388 1 32008	Marlon Dumas
11692 1 261840	Art Munson
3232 1 19930	Derek Hao Hu
10236 1 175735	Matthew J. Nesbitt
17128 0 156979	The Effects on Topic Familiarity on Online Search Behaviour and Use of Relevance Criteria.
30531 3 1805	core
901 1 14537	Andrea Formisano
10970 1 260303	John E. Bell
16492 0 86390	Extracting Semi-Structured Data Through Examples.
20901 0 358134	A Hierarchical Approach to Theorem-Proving.
9376 1 153516	Krishna Kumaraswamy
15802 0 11829	Identifying Protein Interaction Abstracts with Contextual Bag of Words.
37483 3 12928	leases
17468 0 162581	The HyperModel Benchmark.
23810 0 504096	Optimal indexing using near-minimal space.
28015 0 596998	Indexing XML Data Stored in a Relational Database.
14936 0 9151	Tractable Anytime Temporal Constraint Propagation.
31616 3 3096	guardian
34576 3 7751	rippling
20765 0 357804	Perceptual Organization and the Curve Partitioning Problem.
25785 0 554286	TerraServer: A Spatial Data Warehouse.
32962 3 4944	skyline
10220 1 175716	Elena Demidova
14476 0 7604	Terminological Cycles in KL-ONE-based Knowledge Representation Languages.
166 1 3293	Katsumi Tanaka
23367 0 500543	Discovery of Interesting Regions in Spatial Data Sets Using Supervised Clustering.
28208 0 597341	Framework for the Security Component of an Ada DBMS.
12320 1 316711	J. Myers
17648 0 162950	Optimizing Scientific Databases for Client Side Data Processing.
31816 3 3356	plug
25356 0 552313	Fine-grained named entity recognition and relation extraction for question answering.
7425 1 110789	Xiaoli Z. Fern
36894 3 11807	featuring
29591 3 776	dictionary
8874 1 136344	Christof L?ding
24857 0 551528	On the Evaluation of Boolean Operators in the Extended Boolean Retrieval Framework.
37349 3 12604	unstoppable
3686 1 20775	Yonatan Aumann
20911 0 358155	Max-norm Projections for Factored MDPs.
34423 3 7472	pnp
1729 1 16650	Kutluhan Erol
28252 0 597417	Load Shedding in a Data Stream Manager.
34764 3 8058	channeling
33058 3 5081	saliency
36519 3 11191	strip
21628 0 360056	A Model for Learning Systems.
7770 1 113867	Antonio S. Cheng
29240 3 402	adaptive
27362 0 595866	Managing RDFI Data.
623 1 11332	David S. Doermann
21745 0 360344	An Inductive Database for Mining Temporal Patterns in Event Sequences.
33769 3 6447	ranker
34220 3 7149	bands
15619 0 11425	Utility-Directed Planning.
21863 0 360664	Integrating Background Knowledge Into Text Classification.
27421 0 595960	Reorganization Points for File Designs with Nonlinear Processing Costs.
14906 0 9038	CASEE: A Hierarchical Event Representation for the Analysis of Videos.
28182 0 597294	Temporal Data Management.
37274 3 12444	orleans
17071 0 156843	A Study of the Assessment of Relevance for the INEX'02 Test Collection.
1171 1 15573	David Dyer
26217 0 555090	Object-Oriented Database Support for Software Environments.
29564 3 746	secure
10960 1 260292	A. D. Smet
17488 0 162612	A Systematic Approach for Informal Communication During Workflow Execution.
30872 3 2212	shedding
6623 1 82546	J. Strother Moore
11270 1 260959	George Lapis
25137 0 551985	From a Data Description Point of View.
35803 3 9969	drill
23337 0 500478	SMOTEBoost: Improving Prediction of the Minority Class in Boosting.
1940 1 17046	Paul H. Morris
29898 3 1103	similar
35124 3 8791	subgradient
178 1 3530	Scott E. Hudson
10189 1 175668	Amit Shukla
10870 1 258767	Lisa Amini
10698 1 228859	Hisashi Nakamura
16255 0 85956	Data Replication for External Searching in Static Tree Structures.
31396 3 2829	biographical
24675 0 551235	User-centered interface design for cross-language information retrieval.
11662 1 261787	Manu Shukla
29020 3 156	perspective
23872 0 504262	Equivalence, Query-Reachability, and Satisfiability in Datalog Extensions.
23108 0 486973	AutoSplit: Fast and Scalable Discovery of Hidden Variables in Stream and Multimedia Databases.
28990 3 126	decision
29944 3 1151	beliefs
9311 1 152508	Fabius Klemm
8955 1 139071	Charles T. Loop
20046 0 309205	Active Exploration and Learning in real-Valued Spaces using Multi-Armed Bandit Allocation Indices.
33836 3 6563	ldl
19521 0 278649	Optimal Segmentation Using Tree Models.
31920 3 3496	revenue
5935 1 61261	Zhimao Guo
872 1 14080	Virgil Andronache
35821 3 10007	risks
12835 1 366607	Pauli Miettinen
7799 1 113912	Ronan Cummins
18673 0 276998	Query Pairs as Hypertext Links.
16247 0 85945	Efficient data dissemination using locale covers.
11212 1 260828	Mingzhe Gu
27445 0 596015	Algebraic Specification Schemes for Data Base Systems.
19730 0 308168	Semi-supervised learning for structured output variables.
11447 1 261360	Ho-Kong Ng
33695 3 6340	loyality
3306 1 20059	Duc N. Nguyen
3402 1 20243	Sebastian Rudolph
12098 1 306810	J?rn David
3250 1 19968	Priyang Rathod
28722 0 626888	Just the right amount: extracting modules from ontologies.
18428 0 276461	Parallel Control Technique and Performance of an MPPM Knowledge-Base Machine.
24306 0 550651	Using Structural Representations of Anomalous States of Knowledge for Choosing Document Retrieval Strategies.
13064 1 398082	Terje L?ken
656 1 11917	Mark D. Hill
23609 0 503743	Temporal Versus First-Order Logic to Query Temporal Databases.
27452 0 596026	An Implementation of Impure Surrogates.
28144 0 597240	Predictions and Challenges for Database Systems in the Year 2000.
35643 3 9644	employment
10500 1 198034	David P. Williamson
23411 0 500626	Scalable Density-Based Distributed Clustering.
147 1 2647	Wei Liu
27753 0 596522	Freeform: A User-Adaptable Form Management System.
11515 1 261472	Shirley Wang
5187 1 42545	Setsuo Arikawa
4074 1 27042	Upali Sathyajith Kohomban
15655 0 11510	Intelligent Automated Grid Generation for Numerical Simulations.
701 1 12526	Shinichi Honiden
12713 1 366393	Nitin R. Patel
30246 3 1476	overcoming
36229 3 10754	coefficients
23961 0 504430	On the Implementation of a Simple Class of Logic Queries for Databases.
32877 3 4831	diagnosability
7005 1 90866	Chin-Wan Chung
10677 1 225258	Henry Haining Zhang
29527 3 703	inferring
11190 1 260770	Shiyan Deng
21727 0 360290	TELOS, A Language for Building Well-Structured AI Models.
36228 3 10753	merit
15813 0 11850	Transferring Naive Bayes Classifiers for Text Classification.
24841 0 551507	The Importance of Prior Probabilities for Entry Page Search.
18872 0 277419	��BE: User Guided Source Selection and Schema Mediation for Internet Scale Data Integration.
3131 1 19687	Imran A. Zualkernan
2044 1 17270	Olivier Lichtarge
33276 3 5536	elements
15968 0 12138	Generating Hard SAT/CSP Instances Using Expander Graphs.
8898 1 138477	M?rten Bj?rkman
32059 3 3676	accelerate
8030 1 114296	Vivek Bhatnagar
19985 0 309012	Concept boundary detection for speeding up SVMs.
5214 1 42791	Rick Evertsz
34354 3 7368	multiplication
14825 0 8764	Complexity of K-Tree Structured Constraint Satisfaction Problems.
34284 3 7244	0
3726 1 20865	Jiyou Jia
16410 0 86235	Sampling from Databases Using B+-Trees.
10486 1 197116	Balaraman Ravindran
27779 0 596575	Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions.
11478 1 261414	Dai Dai
14186 1 438332	Chris Hillery
33537 3 6065	actor
25536 0 552556	Efficient document retrieval in main memory.
18670 0 276989	A Heuristic Information Retrieval Model on a Massively Parallel Processor.
1568 1 16346	Pradeep Shenoy
16544 0 86486	D-CAPE: distributed and self-tuned continuous query processing.
30025 3 1240	prediction
32798 3 4728	companion
30228 3 1455	external
34542 3 7690	treatments
16075 0 85610	Personal Ontologies for Web Navigation.
16818 0 116345	A Real Time System for Robust 3D Voxel Reconstruction of Human Motions.
1525 1 16279	Margaret E. Connell
8038 1 114306	Ramesh Nallapati
24861 0 551536	The CORE Electronic Chemistry Library.
25760 0 554243	Relaxed-currency serializability for middle-tier caching and replication.
19620 0 278962	Using Burstiness to Improve Clustering of Topics in News Streams.
17321 0 158978	Naive (Bayes) at Forty: The Independence Assumption in Information Retrieval.
36101 3 10553	cpar
12544 1 348412	Jaroslaw Stepaniuk
3627 1 20660	Neil Immerman
35624 3 9613	malware
9320 1 152577	Rolf A. de By
10621 1 213383	Sang Hyun Oh
5602 1 50799	Jun-ichi Takeuchi
17482 0 162601	Model-Independent Schema and Data Translation.
21671 0 360162	Conceptual Design and Artificial Intelligence.
11555 1 261583	Cinda Heeren
25101 0 551926	Methods and metrics for cold-start recommendations.
15430 0 10808	A Case Study of Incremental Concept Induction.
29337 3 505	digital
35345 3 9224	architecting
14770 0 8609	Divide and Conquer in Multi-Agent Planning.
15062 0 9643	All They Know About.
6644 1 83462	Neil Johnson
25744 0 554212	FleXPath: Flexible Structure and Full-Text Querying for XML.
19257 0 278196	A Bayesian Framework for Regularized SVM Parameter Estimation.
4189 1 27967	Silvia Quarteroni
21570 0 359916	Non-Order-Preserving Evaluation Functions: Recursive Graph-Search Methods for Job Sequencing Problems.
3527 1 20482	Indrajit Bhattacharya
5504 1 49946	Peter Dadam
22012 0 360965	Nogood Recording from Restarts.
33097 3 5150	anomaly
2966 1 19278	Teddy Candale
5395 1 48606	Werner Stephan
14376 1 438704	Benjamin Gufler
19272 0 278225	HOT SAX: Efficiently Finding the Most Unusual Time Series Subsequence.
36062 3 10483	stone
13178 1 413372	Sreangsu Acharyya
26798 0 556178	Association Rules over Interval Data.
26655 0 555911	A Performance Evaluation of Pointer-Based Joins.
32065 3 3683	dd
11721 1 261999	Sumeet Agarwal
16638 0 86631	ERkNN: efficient reverse k-nearest neighbors retrieval with local kNN-distance estimation.
33328 3 5673	photo
6430 1 77955	Jean-Pierre Cheiney
28919 3 51	semantic
26356 0 555349	Query Processing in Main Memory Database Management Systems.
3782 1 22205	Wolfgang Bibel
16145 0 85744	Performance and Implications of Semantic Indexing in a Distributed Environment.
8232 1 114595	Xiaoyu Wang
25021 0 551773	A Research Prototype Image Retrieval System.
33612 3 6195	don
15264 0 10303	Auditory Stream Segregation in Auditory Scene Analysis with a Multi-Agent System.
24303 0 550644	Surrogate scoring for improved metasearch precision.
10965 1 260297	D. Neff
21547 0 359850	MARGIE: Memory Analysis Response Generation, and Inference on English.
32513 3 4312	synergy
2440 1 18118	Yuanlin Zhang
24633 0 551151	You are what you say: privacy risks of public mentions.
30252 3 1483	pomdp
32336 3 4064	interventional
34068 3 6889	datablade
13405 1 421269	Timothy Diller
13472 1 421356	Arnold W. Pratt
23694 0 503899	Least Expected Cost Query Optimization: An Exercise in Utility.
3636 1 20679	Jin Hyung Kim
6683 1 84077	Torsten Grust
32709 3 4604	degrees
35876 3 10108	mathematically
28464 0 597758	Security in Outsourcing of Association Rule Mining.
7920 1 114129	Seung Jin Lim
25468 0 552467	Relaxed online SVMs for spam filtering.
20232 0 309723	Robust multi-task learning with t-processes.
29247 3 409	test
36953 3 11917	siebel
20279 0 309827	Learning for efficient retrieval of structured data with noisy queries.
36261 3 10798	give
18648 0 276947	A Tree Based Access Method (TBSAM) for Fast Processing of Aggregate Queries.
12092 1 306013	George D. Hadden
20317 0 356653	Tuning of Search of the Problem Space for Geometry Proofs.
21583 0 359958	Pattern Clustering: An Artificial Intelligence Approach.
17564 0 162783	Improving the Efficiency of XPath Execution on Relational Systems.
25797 0 554310	B+ Trees and Indexed Sequential Files: A Performance Comparison.
12909 1 375510	Shai Geva
25548 0 552569	Query performance prediction in web search environments.
7166 1 98651	Helga Van Herle
13986 1 422744	Gregory Dorman
21794 0 360472	A Model-Based Consultation System for the Long-Term Management of Glaucoma.
24357 0 550736	Impact transformation: effective and efficient web retrieval.
19865 0 308642	Irrelevant Features and the Subset Selection Problem.
21993 0 360916	ProbLog: A Probabilistic Prolog and Its Application in Link Discovery.
12208 1 316248	Paul Nielson
25667 0 554074	User Interfaces.
29970 3 1178	assessment
23209 0 487219	Is Frequency Enough for Decision Makers to Make Decisions?.
11678 1 261816	Wanzhong Yang
2702 1 18726	Nancy Salay
16442 0 86299	Evaluation of a MCA-based approach to organize data cubes.
17245 0 158626	Coevolutionary, Distributed Search for Inducing Concept Description.
1190 1 15604	Michael Gelfond
26893 0 556315	Trajectory clustering: a partition-and-group framework.
12717 1 366400	Lee-Hian Quek
22251 0 436174	Finding recent frequent itemsets adaptively over online data streams.
21002 0 358426	Approximate Responses from a Data Base Query System: An Application of Inferencing in Natural Language.
425 1 8166	Xi Chen
34096 3 6931	respecting
22334 0 436338	Knowledge Discovery in Textual Databases (KDT).
22387 0 436456	Adjusting for Multiple Comparisons in Decision Tree Pruning.
30210 3 1437	massively
31603 3 3083	motifs
23542 0 500950	RIVA: Indexing and Visualization of High-Dimensional Data Via Dimension Reorderings.
26006 0 554660	Answering Queries in Relational Databases.
23975 0 504449	Deductive Databases in Action.
24434 0 550863	A Conceptual Model aod Experiments on How People Classify and Retrieve Documents.
5443 1 48858	Ruizhang Huang
28755 0 627008	Supporting anonymous location queries in mobile environments with privacygrid.
23294 0 487543	Applying Latent Semantic Indexing in Frequent Itemset Mining for Document Relation Discovery.
6146 1 69996	Siobhan Devlin
20898 0 358130	The Heuristic Search And The Game Of Chess - A Study Of Quiescene, Sacrifices, And Plan Oriented Play.
23332 0 500466	A Unified and Flexible Framework for Comparing Simple and Complex Patterns.
21334 0 359318	Optimizing Backtrack Search for all Solutions to Conjunctive Problems.
21817 0 360534	What Is Perceptual Organization For?
15507 0 11033	Algebraic Sematics for Cumulative Inference Operations.
7689 1 113749	Juliano Palmieri Lage
21460 0 359654	AI and Pattern Recognition.
27865 0 596720	SMART: Making DB2 (More) Autonomic.
16628 0 86615	Domain-specific keyphrase extraction.
31691 3 3188	duplication
9591 1 161012	Chen Avin
2458 1 18142	Amnon Lotem
21943 0 360819	Dynamic Weighting A* Search-Based MAP Algorithm for Bayesian Networks.
20728 0 357730	Proportionality Graphs, Units Analysis, and Domain Constraints: Improving the Power and Efficiency of the Scientific Discovery Process.
34103 3 6939	smo
12838 1 366613	Alessandro Tiberi
17330 0 158999	A Note on Refinement Operators.
11300 1 261027	Konstantinos Stathatos
27991 0 596951	MERLIN - Design of a National Bibliographic Database.
29326 3 494	adaptively
37603 3 13265	violations
5708 1 52604	Osamu Katai
36862 3 11735	exchanging
26409 0 555437	Mapping a Semantic Database Model to the Relational Model.
4960 1 37787	Alessio Lomuscio
24566 0 551046	Different Levels of Expertise for An Expert System in Information Retrieval.
26617 0 555837	The Design of ?1NF Relational Databases into Nested Normal Form.
34717 3 7966	neurons
11685 1 261833	Mahesh Shrestha
10273 1 177159	Benjamin Bin Yao
22480 0 436635	Incremental context mining for adaptive document classification.
23726 0 503964	Comparing and Aggregating Rankings with Ties.
28218 0 597360	Bypassing Joins in Disjunctive Queries.
10828 1 245062	Jo-Mei Chang
13504 1 421410	Ralf L��beck
17273 0 158766	Counting Positives Accurately Despite Inaccurate Classification.
36481 3 11142	bloggers
14241 1 438447	Christine Xing Wang
29516 3 691	parts
12866 1 366662	Andrew S. Fast
34920 3 8359	refitting
5368 1 47794	Kazuo Hashimoto
20786 0 357850	Domain-Specific Keyphrase Extraction.
27190 0 595594	CS4: A Tool for Database Design by Infological Simulation (Abstract).
26553 0 555705	D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data.
3200 1 19869	Dragomir R. Radev
4907 1 36535	Jean-Luc Remy
4884 1 36244	Xiaodan Zhang
26362 0 555358	A Polynomial Time Algorithm for Testing Implications of a Join Dependency and Embodied Functional Dependencies.
19717 0 308130	An information theoretic analysis of maximum likelihood mixture estimation for exponential families.
34559 3 7718	extremum
13550 1 421472	W. J. Li
18206 0 275993	A Flexible Transaction Model for Software Engineering.
24693 0 551259	Locality preserving indexing for document representation.
32216 3 3902	symmetries
32720 3 4620	counts
1226 1 15685	Hans van der Drift
23122 0 487011	Achieving Private Recommendations Using Randomized Response Techniques.
12049 1 299986	Allison Waingold
53 1 958	Stan Sclaroff
15350 0 10582	Distributed Cases for Case-Based Reasoning: Facilitating Use of Multiple Cases.
34825 3 8175	michi
17009 0 118726	Diverse Active Ranking for Multimedia Search.
9702 1 164049	Roger Le
2575 1 18363	Itay Meiri
23634 0 503795	Elimination of Intersection Anomalies from Database Schemes.
15520 0 11061	Laughing with HAHAcronym, a Computational Humor System.
5158 1 41722	Padraig Cunningham
19904 0 308756	Toward Optimal Feature Selection.
31184 3 2569	traceability
30694 3 1989	learned
24554 0 551027	The Document Management Component of a Multimedia Data Model.
5957 1 61564	Hisashi Miyamori
18348 0 276274	OSSM: A Segmentation Approach to Optimize Frequency Counting.
31976 3 3566	tinymuds
20663 0 357553	Data Clustering: Principal Components, Hopfield and Self-Aggregation Networks.
4807 1 35560	Raj Reddy
14798 0 8684	Mining and Re-ranking for Answering Biographical Queries on the Web.
24973 0 551701	Load balancing for term-distributed parallel retrieval.
1993 1 17187	Gary G. Hendrix
32274 3 3981	onto
33970 3 6752	conserving
19125 0 277896	Filtered Indices and Their Use in Flexible Schema Scenarios.
29344 3 512	database
34992 3 8519	checker
25994 0 554639	Holistic Aggregates in a Networked World: Distributed Tracking of Approximate Quantiles.
37184 3 12284	acceptable
3591 1 20583	Lina Khatib
7997 1 114242	Sena Nural
24393 0 550787	DefScriber: a hybrid system for definitional QA.
416 1 7907	Rattikorn Hewett
13077 1 398127	Banafsheh Vaezian
28257 0 597433	Psychological Issues in Data Base Management.
8348 1 114831	Kimmo H?t?nen
27067 0 595388	Managing Distributed Workspaces with Active XML.
28121 0 597178	Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation.
20654 0 357531	A LISP Machine with Very Compact Programs.
12124 1 315931	C. Franklin Boyle
33400 3 5853	harsh
18572 0 276791	Disk Striping.
14142 1 438242	G. L. Lasseter
36076 3 10508	seqindex
3857 1 23381	Yang Wang
32744 3 4649	stroke
2672 1 18636	Slawomir Nowaczyk
9793 1 168240	Werner Emde
18797 0 277292	Efficient Processing of Nested Fuzzy SQL Queries.
2992 1 19332	Aaron Sloman
17667 0 162992	Building Dynamic Market Places Using HyperQueries.
6769 1 85831	G. Halin
29066 3 209	type
22656 0 436977	What's the code?: automatic classification of source code archives.
10419 1 192499	S. Vazzana
19363 0 278374	Algorithms for Spatial Outlier Detection.
27791 0 596590	Performance Evaluation of an Operating System Transaction Manager.
6311 1 75415	Yue Xu
7585 1 113318	Jun Rao
10392 1 186494	Claude Pichet
14359 1 438669	J. C. Lee
25377 0 552344	Hits hits TREC: exploring IR evaluation results with network analysis.
18413 0 276434	Construction of a Relational Front-end for Object-Oriented Database Systems.
1543 1 16314	Caroline Devred
17968 0 275507	An Efficient Algorithm for Mining Frequent Sequences by a New Strategy without Support Counting.
24054 0 536213	Cluster Validity Analysis of Alternative Results from Multi-Objective Optimization.
25239 0 552145	Discovering Typical Structures of Documents: A Road Map Approach.
1312 1 15829	Wendy G. Lehnert
23673 0 503869	Horn Clauses and the Fixpoint Query Hierarchy.
140 1 2509	Andrew Jennings
19787 0 308372	A graphical model for predicting protein molecular function.
29460 3 633	correct
31789 3 3318	compound
18839 0 277370	ServiceMosaic: Interactive Analysis and Manipulation of Service Conversations.
19323 0 278313	CMAR: Accurate and Efficient Classification Based on Multiple Class-Association Rules.
5142 1 40765	Kritsada Sriphaew
15941 0 12088	The Benefits of an Ontological Patient Model in Clinical Decision-Support.
11863 1 282842	Shailesh Kumar
20085 0 309324	Unsupervised Sequence Segmentation by a Mixture of Switching Variable Memory Markov Sources.
22439 0 436564	Clustering seasonality patterns in the presence of errors.
32512 3 4311	sample
26504 0 555625	Implementation of a Compiler for a Semantic Data Model: Experiences with Taxis.
9315 1 152525	Pavel Serdyukov
13383 1 421230	Christine Leichtenstien
30592 3 1869	trouble
4875 1 36094	Bin He
30810 3 2143	crossword
17502 0 162649	On Exploring the Power-Law Relationship in the Itemset Support Distribution.
3201 1 19870	Gerald J. Sussman
34619 3 7818	sequenced
16077 0 85612	Experiments on Multi-Strategy Learning by Meta-Learning.
32032 3 3638	capacity
30644 3 1929	secondary
6540 1 78824	Henrique Paques
34204 3 7122	simpler
21437 0 359597	Algorithms for Learning Logical Formulas.
30598 3 1875	embedding
10653 1 221283	Michael McQuaid
30857 3 2196	memm
1331 1 15866	Cristina Boicu
16184 0 85821	Minipage Locking Support for Object-Oriented Page-Server DBMS.
18083 0 275772	Audio/Video Databases: An Object-Oriented Approach.
21886 0 360720	TAGA: Travel Market Framework in Agentcities.
2162 1 17493	Nikos A. Vlassis
35585 3 9561	rightnow
10854 1 256258	Chiranjib Bhattacharyya
15990 0 12180	Decompositions of Grammar Constraints.
28224 0 597372	DBMS Research at a Crossroads: The Vienna Update.
11810 1 280003	Namunu Chinthaka Maddage
8458 1 117480	Mitchell Bowden
29289 3 454	unrecognized
17327 0 158994	A New Pairwise Ensemble Approach for Text Classification.
25882 0 554457	Shoring Up Persistent Applications.
29211 3 371	butterfly
26756 0 556096	Single Logical View over Enterprise-Wide Distributed Databases.
19033 0 277761	On Signatures for Communication Graphs.
19061 0 277805	COLR-Tree: Communication-Efficient Spatio-Temporal Indexing for a Sensor Data Web Portal.
33608 3 6186	compute
36227 3 10752	revtolc
26152 0 554962	Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes.
36552 3 11240	statement
24011 0 504515	Curated databases.
2901 1 19145	P. Bui
32993 3 4986	saiu
4174 1 27858	Mikko Kurimo
26112 0 554880	Replica Control in Distributed Systems: An Asynchronous Approach.
23379 0 500565	The Anatomy of SnakeT: A Hierarchical Clustering Engine for Web-Page Snippets.
25242 0 552148	Latent semantic analysis for multiple-type interrelated data objects.
18025 0 275645	MoDB: Database System for Synthesizing Human Motion.
19849 0 308599	Learning approximate preconditions for methods in hierarchical plans.
36700 3 11465	sqlj
5359 1 47352	Hung-Yu Kao
24765 0 551376	ALLOY: An Amalgamation of Expert, Linguistic and Statistical Indexing Methods.
848 1 13725	Basilis Mamalis
13785 1 422312	Thierry Cruanes
9425 1 154967	Eddie C. Shek
21198 0 358975	Chart Parsing of Flowgraphs.
1101 1 15453	Julia Hirschberg
3602 1 20610	Mark Austin
5945 1 61372	Kunqing Xie
35398 3 9299	incspan
36754 3 11562	firm
12800 1 366546	Ming-Yen Thomas Su
35647 3 9649	febrl
10562 1 205532	Hao Ma
16766 0 86897	Just-in-time contextual advertising.
21022 0 358467	Using Case-Base Data to Learn Adaptation Knowledge for Design.
30511 3 1785	explosions
19221 0 278135	Bifold Constraint-Based Mining by Simultaneous Monotone and Anti-Monotone Checking.
12671 1 366312	Gerald Fahner
18709 0 277099	Discovering Similar Multidimensional Trajectories.
31916 3 3492	algebras
4649 1 34493	Woong-Kee Loh
5985 1 61875	Shyh-Kwei Chen
34563 3 7725	subtheories
34798 3 8121	insanity
19494 0 278611	Frequent-Pattern based Iterative Projected Clustering.
33499 3 6019	dataguides
29917 3 1122	active
31915 3 3491	weak
24634 0 551154	User Interfaces to Information Systems: Choices vs. Commands.
10069 1 174570	Joshua R. Tyler
5397 1 48620	Fusun Yaman
20268 0 309796	Adaptive dimension reduction using discriminant analysis and K-means clustering.
23996 0 504493	Indexing the Edges - A Simple and Yet Efficient Approach to High-Dimensional Indexing.
29288 3 453	officially
32831 3 4771	patient
28936 3 69	modern
30912 3 2259	exposing
5552 1 50562	Tatsuya Akutsu
25540 0 552561	MQX: multi-query engine for compressed XML data.
28348 0 597589	Design of a Balanced Multiple Valued File Organization Schema with the Least Redundancy.
23982 0 504467	A Web Odyssey: From Codd to XML.
21712 0 360255	A Learning Algorithm for Localizing People Based on Wireless Signal Strength that Uses Labeled and Unlabeled Data.
32067 3 3685	attachment
21264 0 359123	A Hierarchy of Boundary-based Shape Descriptors.
8770 1 131177	J��r?me Fortin
22113 0 361172	Coalitions in Action Logic.
7261 1 102935	Thomas Wilke
20229 0 309715	Efficient projections onto the l1-ball for learning in high dimensions.
26852 0 556253	Sonnet: an efficient distributed content-based dissemination broker.
10568 1 206045	Vance E. Waddle
14444 1 453593	Yuan Kui Shen
29281 3 446	named
16997 0 118648	Face Recognition Using Kernel Ridge Regression.
23646 0 503826	Verifiable Properties of Database Transactions.
30783 3 2113	polygon
13918 1 422601	Nigel Westbury
34659 3 7887	fetches
37708 3 13429	irls
10371 1 184364	You-Chin Fuh
23602 0 503718	Conjunctive Query Equivalence of Keyed Relational Schemas.
30357 3 1599	odometry
30462 3 1724	dialogues
24479 0 550930	Processing Free-Text Input to Obtain a Database of Medical Information.
7568 1 113298	Nesime Tatbul
17162 0 157041	Authorship Attribution Via Combination of Evidence.
18727 0 277135	Distributed Query Optimization by One-Shot Fixed-Precision Semi-Join Execution.
25368 0 552330	Towards musical query-by-semantic-description using the CAL500 data set.
